Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - C. GAYE - J. MARTIN LOPEZ - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;19;4;8;4;4;2;6;5;2;12;8;4;1;3;1;1;2;5;0;1;1;3;1;15;11.64
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;20;3;7;4;5;3;4;3;3;5;3;2;1;2;1;0;1;2;0;1;0;3;1;17;12.76
A. PUIG LLUCH - C. GAYE - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;5;5;4;3;1;0;0;1;5;3;2;0;1;1;0;1;0;1;1;0;1;4;6;6.0
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;18;10;8;6;4;2;2;0;3;7;4;3;1;1;1;0;2;1;3;1;1;2;5;8;10.879999999999999
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;5;5;4;3;1;0;0;1;5;3;2;0;1;1;0;1;0;1;1;0;1;4;6;6.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;14;9;5;4;5;2;0;0;5;5;2;3;3;5;0;0;4;0;2;0;5;1;1;5;10.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;4;7;0;0;3;1;1;1;1;0;0;0;4;4;0;0;4;0;1;1;2;2;0;-3;7.44
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
