Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS;54;54;25;12;23;9;8;3;13;30;20;10;8;5;0;1;11;11;16;3;13;20;13;0;49.51
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ;41;40;21;11;18;5;6;4;10;19;10;9;8;7;0;1;8;10;11;5;3;13;3;1;40.64000000000001
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;9;9;3;3;5;1;0;0;1;5;3;2;3;1;0;0;4;0;3;1;0;2;2;0;9.0
B. MANEL - D. FERRERAS CAMARERO - O. FILBA GONZALEZ;55;28;33;21;14;2;12;7;15;31;24;7;16;13;3;1;10;16;9;2;4;18;12;27;61.28
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - O. FILBA GONZALEZ;48;39;26;16;15;4;6;4;13;26;20;6;10;9;0;1;11;15;11;3;8;14;8;9;47.64
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ;65;49;29;19;25;7;9;6;16;35;19;16;9;6;2;0;10;12;14;4;9;14;8;16;50.96
B. MANEL - D. FERRERAS CAMARERO - P. CRUZ URBANEJA;75;45;51;23;19;6;17;11;15;44;24;20;17;15;1;3;11;14;14;3;8;21;10;30;74.47999999999999
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;85;60;40;22;28;12;13;5;17;43;27;16;14;9;2;1;15;12;24;1;9;21;16;25;71.71
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - P. CRUZ URBANEJA;104;80;61;30;32;10;23;14;20;55;32;23;20;16;0;3;18;20;27;5;11;32;15;24;100.11
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;50;52;23;12;24;7;14;5;10;39;24;15;12;2;1;1;13;12;19;2;8;17;12;-2;50.15
D. FERRERAS CAMARERO - J. MARTIN LOPEZ - O. FILBA GONZALEZ;21;11;14;9;6;0;6;3;4;19;13;6;7;2;3;0;7;6;5;0;1;6;5;10;23.63
J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;40;26;23;17;11;0;12;6;8;29;20;9;9;4;3;0;13;7;10;1;3;10;8;14;39.269999999999996
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR;8;9;10;3;4;0;2;2;1;11;7;4;5;4;4;0;0;5;3;1;0;7;7;-1;15.87
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR;53;53;31;18;20;5;9;2;11;31;20;11;16;9;2;1;9;12;16;4;9;20;15;0;59.95
D. FERRERAS CAMARERO - J. SIFTAR - P. CRUZ URBANEJA;67;34;39;21;15;6;13;7;9;31;17;14;11;13;2;1;7;10;14;1;3;16;11;33;56.71
B. MANEL - D. FERRERAS CAMARERO - N. KUSTURICA;32;20;25;10;9;3;6;3;11;21;15;6;10;7;3;0;8;6;6;2;2;14;8;12;40.64
B. MANEL - J. BOUMTJE BOUMTJE - N. KUSTURICA;31;30;31;10;10;2;9;5;10;27;18;9;14;7;6;0;9;10;9;3;3;19;15;1;49.95
